distance,adult_card_fare_per_ride,adult_cash_fare_per_ride,senior_citizen_card_fare_per_ride,senior_citizen_cash_fare_per_ride,student_card_fare_per_ride,student_cash_fare_per_ride,workfare_transport_concession_card_fare_per_ride,workfare_transport_concession_cash_fare_per_ride,persons_with_disabilities_card_fare_per_ride,persons_with_disabilities_cash_fare_per_ride
Up to 3.2 km,128,210,69,140,52,100,78,210,69,140
3.3 km - 4.2 km,138,230,79,140,60,100,89,230,79,140
4.3 km - 5.2 km,149,230,87,140,66,100,98,230,87,140
5.3 km - 6.2 km,159,230,94,140,71,100,106,230,94,140
6.3 km - 7.2 km,168,250,100,170,74,120,113,250,100,170
7.3 km - 8.2 km,175,250,107,170,78,120,120,250,107,170
8.3 km - 9.2 km,182,250,107,170,78,120,126,250,107,170
9.3 km - 10.2 km,186,270,107,170,78,120,129,270,107,170
10.3 km - 11.2 km,190,270,107,170,78,120,132,270,107,170
11.3 km - 12.2 km,194,290,107,170,78,120,135,290,107,170
12.3 km - 13.2 km,198,290,107,170,78,120,138,290,107,170
13.3 km - 14.2 km,202,290,107,170,78,120,141,290,107,170
14.3 km - 15.2 km,207,290,107,170,78,120,144,290,107,170
15.3 km - 16.2 km,211,300,107,170,78,120,147,300,107,170
16.3 km - 17.2 km,215,300,107,170,78,120,150,300,107,170
17.3 km - 18.2 km,220,300,107,170,78,120,153,300,107,170
18.3 km - 19.2 km,224,300,107,170,78,120,156,300,107,170
19.3 km - 20.2 km,227,310,107,170,78,120,159,310,107,170
20.3 km - 21.2 km,230,310,107,170,78,120,162,310,107,170
21.3 km - 22.2 km,233,310,107,170,78,120,165,310,107,170
22.3 km - 23.2 km,236,310,107,170,78,120,168,310,107,170
23.3 km - 24.2 km,238,320,107,170,78,120,170,320,107,170
24.3 km - 25.2 km,240,320,107,170,78,120,171,320,107,170
25.3 km - 26.2 km,242,320,107,170,78,120,172,320,107,170
26.3 km - 27.2 km,243,320,107,170,78,120,173,320,107,170
27.3 km - 28.2 km,244,320,107,170,78,120,174,320,107,170
28.3 km - 29.2 km,245,320,107,170,78,120,175,320,107,170
29.3 km - 30.2 km,246,320,107,170,78,120,176,320,107,170
30.3 km - 31.2 km,247,320,107,170,78,120,177,320,107,170
31.3 km - 32.2 km,248,320,107,170,78,120,178,320,107,170
32.3 km - 33.2 km,249,320,107,170,78,120,179,320,107,170
33.3 km - 34.2 km,250,320,107,170,78,120,180,320,107,170
34.3 km - 35.2 km,251,320,107,170,78,120,181,320,107,170
35.3 km - 36.2 km,252,320,107,170,78,120,182,320,107,170
36.3 km - 37.2 km,253,320,107,170,78,120,183,320,107,170
37.3 km - 38.2 km,254,320,107,170,78,120,184,320,107,170
38.3 km - 39.2 km,255,320,107,170,78,120,185,320,107,170
39.3 km - 40.2 km,256,320,107,170,78,120,186,320,107,170
Over 40.2 km,257,320,107,170,78,120,187,320,107,170
